X,Y,Z,Intensity
66.89861,6.1512623,2.4796038,0.0
66.12401,6.29029,2.4545658,0.0
66.07342,6.4943314,2.4535136,0.0
65.906815,6.687371,2.448464,0.0
66.44021,6.9534254,2.4673984,0.0
66.122604,7.130461,2.4573512,0.0
66.37931,7.2634883,2.466318,0.0
66.06171,7.4385233,2.4562707,0.0
50.882156,5.8861985,1.9405903,0.0
50.890556,6.049231,1.9415464,0.0
79.08025,9.918036,2.9026964,0.0
51.194756,6.576338,1.9534051,0.0
51.193455,6.6573544,1.9543828,0.08
49.721867,6.6243463,1.9043803,0.1
50.12726,6.83939,1.9193239,0.0
67.48158,9.431929,2.5117474,0.0
66.51098,9.508944,2.4797187,0.0
65.82938,9.622966,2.4576817,0.0
64.33378,9.6099615,2.4076726,0.0
57.974506,8.751782,2.1908567,0.12
57.94991,8.933819,2.190805,0.18
57.9723,9.124857,2.1927507,0.39
57.973698,9.311895,2.1936975,0.22
57.934097,9.49193,2.1926453,0.29
57.63549,9.629958,2.1836026,0.11
56.664192,9.558943,2.1506126,0.14
55.648598,9.566942,2.1175988,0.09
54.654,9.572943,2.0835855,0.0
53.7124,9.581943,2.0525718,0.13
52.511806,9.537932,2.0125701,0.3
52.4002,9.687962,2.0095239,0.12
32.25677,6.061208,1.3183477,0.45
49.961315,9.479916,1.9275539,0.25
32.836864,6.3312616,1.3392714,0.23
31.963276,6.266247,1.3102775,0.27
32.34467,6.4472833,1.3242259,0.28
46.826923,9.4959135,1.8235035,0.15
46.166325,9.512915,1.8014878,0.14
45.473026,9.4449,1.7784979,0.16
44.59443,9.408891,1.7494948,0.2
32.257965,6.906372,1.3240755,0.31
43.470234,9.456898,1.7124603,0.18
42.83663,9.4608965,1.6914476,0.37
42.204037,9.459895,1.6704363,0.19
41.557438,9.451891,1.6494267,0.16
41.458138,9.4979,1.64641,0.47
41.21954,9.579915,1.6393785,0.29
39.880947,9.400877,1.5934101,0.24
39.34535,9.405876,1.5763974,0.18
38.83575,9.412876,1.5593842,0.41
38.320152,9.4158745,1.542372,0.22
37.793556,9.411872,1.5253615,0.18
37.363262,9.366861,1.5103669,0.25
37.237656,9.460879,1.5073323,0.37
37.192055,9.5739,1.5062929,0.19
35.933468,9.369857,1.4633319,0.26
35.46387,9.366855,1.4483212,0.23
34.984272,9.357851,1.4323121,0.2
34.86367,9.443867,1.4292793,0.38
34.869366,9.503878,1.4302586,0.5
33.863777,9.344844,1.3962871,0.22
33.356182,9.317836,1.3792825,0.29
32.68959,9.241818,1.3572905,0.33
32.59799,9.326834,1.3542577,0.29
32.017395,9.26982,1.335261,0.28
31.799791,9.315828,1.328238,0.26
31.431496,9.261816,1.3162462,0.19
31.073898,9.262814,1.3042347,0.25
31.044294,9.360832,1.3041984,0.46
31.050688,9.469853,1.3061591,0.31
30.982088,9.554869,1.304126,0.57
29.718508,9.267807,1.2611889,0.22
19.598465,6.14217,0.9029924,0.24
19.528866,6.188178,0.90197164,0.5
